country,name,region,lat,lon
PRT,Portugal,Europe,39.5,-8.0
GBR,United Kingdom,Europe,54.0,-2.0
USA,United States,Americas,38.0,-97.0
ESP,Spain,Europe,40.0,-4.0
IRL,Ireland,Europe,53.0,-8.0
FRA,France,Europe,46.0,2.0
ROU,Romania,Europe,46.0,25.0
NOR,Norway,Europe,62.0,10.0
OMN,Oman,Asia,21.0,57.0
ARG,Argentina,Americas,-34.0,-64.0
POL,Poland,Europe,52.0,20.0
DEU,Germany,Europe,51.0,9.0
BEL,Belgium,Europe,50.83333333,4.0
CHE,Switzerland,Europe,47.0,8.0
CN,China,Asia,35.0,105.0
GRC,Greece,Europe,39.0,22.0
ITA,Italy,Europe,42.83333333,12.83333333
NLD,Netherlands,Europe,52.5,5.75
DNK,Denmark,Europe,56.0,10.0
RUS,Russia,Europe,60.0,100.0
SWE,Sweden,Europe,62.0,15.0
AUS,Australia,Oceania,-27.0,133.0
EST,Estonia,Europe,59.0,26.0
CZE,Czechia,Europe,49.75,15.5
BRA,Brazil,Americas,-10.0,-55.0
FIN,Finland,Europe,64.0,26.0
MOZ,Mozambique,Africa,-18.25,35.0
BWA,Botswana,Africa,-22.0,24.0
LUX,Luxembourg,Europe,49.75,6.16666666
SVN,Slovenia,Europe,46.11666666,14.81666666
ALB,Albania,Europe,41.0,20.0
IND,India,Asia,20.0,77.0
CHN,China,Asia,35.0,105.0
MEX,Mexico,Americas,23.0,-102.0
MAR,Morocco,Africa,32.0,-5.0
UKR,Ukraine,Europe,49.0,32.0
SMR,San Marino,Europe,43.76666666,12.41666666
LVA,Latvia,Europe,57.0,25.0
PRI,Puerto Rico,Americas,18.25,-66.5
SRB,Serbia,Europe,44.0,21.0
CHL,Chile,Americas,-30.0,-71.0
AUT,Austria,Europe,47.33333333,13.33333333
BLR,Belarus,Europe,53.0,28.0
LTU,Lithuania,Europe,56.0,24.0
TUR,Turkey,Asia,39.0,35.0
ZAF,South Africa,Africa,-29.0,24.0
AGO,Angola,Africa,-12.5,18.5
ISR,Israel,Asia,31.47,35.13
